,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
94,0.0,Fri Jan 05 08:50:54 +0000 2018,1.0,0.0,0.0,2,@BBC,RT @BBCNews: First openly transgender woman in British Vogue https://t.co/mFt1oG38ok
95,-0.2732,Fri Jan 05 08:47:27 +0000 2018,0.9,0.1,0.0,2,@BBC,RT @BBCScotlandNews: Meet the electric skateboarders who can cut through traffic at 25mph. Another step closer to Marty McFly’s hoverboard……
96,0.4215,Fri Jan 05 08:40:01 +0000 2018,0.896,0.0,0.104,2,@BBC,RT @BBCNewsbeat: Jack has just touched down in the UK after being rescued from a dog meat farm in South Korea. 2.5 million dogs are killed…
97,0.0,Fri Jan 05 08:40:01 +0000 2018,1.0,0.0,0.0,2,@BBC,How to be a guide runner! ?? https://t.co/deQo8TwhkX
98,-0.4404,Fri Jan 05 08:21:04 +0000 2018,0.854,0.146,0.0,2,@BBC,"'I wound down the window to stroke a lion'. ?
Zoo attacks and the people who survive them. ? https://t.co/2zDKPHayDx https://t.co/i5kBJt8EQw"
99,-0.0516,Fri Jan 05 08:00:04 +0000 2018,0.574,0.221,0.205,2,@BBC,"What’s life like as a blind, single mum? 
#EverydayHeroes https://t.co/KRAit5faWa"
100,0.0,Fri Jan 05 07:38:04 +0000 2018,1.0,0.0,0.0,2,@BBC,??10 books you need to read in 2018. https://t.co/9tTXN1VmjH https://t.co/OeJTjazpPj
101,0.0,Sat Jan 06 20:05:17 +0000 2018,1.0,0.0,0.0,3,@CBS,"RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18"
102,0.8271,Sat Jan 06 19:04:08 +0000 2018,0.686,0.0,0.314,3,@CBS,RT @LivinBiblically: “The truth is it somehow gorgeously straddles both sides...I have had friends come from all different walks of life an…
103,-0.7717,Sat Jan 06 19:03:38 +0000 2018,0.774,0.226,0.0,3,@CBS,RT @instinctcbs: “This is a crime show where at the end you’re not reminded of how miserable things are in the world right now…You feel sat…
104,0.0,Sat Jan 06 00:37:55 +0000 2018,1.0,0.0,0.0,3,@CBS,"RT @startrekcbs: Star Trek has touched the lives of generations of fans, including the cast and writers of #StarTrekDiscovery. What's your…"
105,0.0,Sat Jan 06 00:30:53 +0000 2018,1.0,0.0,0.0,3,@CBS,#StrangeAngel has found its leading man! Jack Reynor will star as famed rocket engineer Jack Parsons in the upcomin… https://t.co/sHkSKABGfd
106,0.0,Fri Jan 05 18:30:42 +0000 2018,1.0,0.0,0.0,3,@CBS,"The streak of new episodes continues! Watch new episodes of #MacGyver, #H50 &amp; #BlueBloods tonight starting at 8/7c.… https://t.co/xs2vbVqBJZ"
